 time            v(OUT+)         v(OUT-)         @R1[i]          @R2[i]         
 1.53280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.54280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.55280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.56280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.57280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.58280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.59280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.60280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.61280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.62280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.63280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.64280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.65280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.66280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.67280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.68280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.69280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.70280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.71280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.72280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.73280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.74280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.75280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.76280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.77280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.78280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.79280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.80280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.81280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.82280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.83280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
 1.84280000e-09  3.03228619e+00  3.20249212e+00  5.35427626e-03  1.95015752e-03 
